trade_id,exit_bar_index,exit_date,exit_ret
139,6,2021-03-06,0.2819183300346206
140,6,2021-03-06,0.3425341533887451
141,6,2021-03-06,0.3088941753384939
142,6,2021-03-07,0.3238086863820166
143,6,2021-03-08,1.2562930783378183
144,6,2021-03-11,2.1932206250297988
145,6,2021-03-11,0.4842713673895724
146,6,2021-03-12,0.3211902236978718
147,6,2021-03-12,0.8348535396848218
148,6,2021-03-12,0.9457052766659282
149,6,2021-03-12,0.7795376339907893
150,6,2021-03-12,0.6841041333222988
151,6,2021-03-13,0.622549759122367
152,6,2021-03-13,1.5139709276816735
153,6,2021-03-14,0.2391791605391864
154,6,2021-03-14,0.3175700906091163
155,4,2021-03-13,1.2228296611207483
156,6,2021-03-15,0.6997363737266693
157,6,2021-03-16,0.4600467748286219
158,6,2021-03-16,0.8894805677975863
